#E_pot  E_kin  T  P_ideal P_virial
-1.544337e-05 7.011537e+02 2.810980e+02 7.761954e+02 7.761953e+02
-1.564660e-05 7.038087e+02 2.821624e+02 7.791346e+02 7.791345e+02
-1.602851e-05 6.981987e+02 2.799133e+02 7.729242e+02 7.729241e+02
-1.670290e-05 7.177214e+02 2.877402e+02 7.945363e+02 7.945362e+02
-1.786473e-05 7.115170e+02 2.852528e+02 7.876679e+02 7.876678e+02
-1.940403e-05 7.077895e+02 2.837584e+02 7.835414e+02 7.835413e+02
-2.107480e-05 7.239230e+02 2.902264e+02 8.014016e+02 8.014015e+02
-2.324127e-05 6.968371e+02 2.793675e+02 7.714169e+02 7.714168e+02
-2.615068e-05 6.980387e+02 2.798492e+02 7.727471e+02 7.727470e+02
-2.942592e-05 7.244413e+02 2.904342e+02 8.019754e+02 8.019753e+02
-3.313489e-05 7.027301e+02 2.817300e+02 7.779405e+02 7.779404e+02
-3.735505e-05 7.402369e+02 2.967668e+02 8.194615e+02 8.194614e+02
-4.108363e-05 7.431208e+02 2.979230e+02 8.226541e+02 8.226540e+02
-4.392550e-05 7.392614e+02 2.963757e+02 8.183816e+02 8.183815e+02
-4.665515e-05 7.346121e+02 2.945118e+02 8.132347e+02 8.132346e+02
-4.820045e-05 7.412336e+02 2.971664e+02 8.205649e+02 8.205647e+02
-4.922221e-05 6.972125e+02 2.795180e+02 7.718324e+02 7.718322e+02
-5.034513e-05 6.823882e+02 2.735748e+02 7.554216e+02 7.554214e+02
-5.038081e-05 6.945722e+02 2.784594e+02 7.689095e+02 7.689093e+02
-4.915000e-05 7.171241e+02 2.875007e+02 7.938750e+02 7.938749e+02
-4.632823e-05 7.565034e+02 3.032881e+02 8.374689e+02 8.374688e+02
-4.265238e-05 7.262531e+02 2.911606e+02 8.039811e+02 8.039810e+02
-3.949081e-05 7.351007e+02 2.947076e+02 8.137756e+02 8.137754e+02
-3.707305e-05 7.344690e+02 2.944544e+02 8.130763e+02 8.130762e+02
-3.436771e-05 7.876587e+02 3.157786e+02 8.719587e+02 8.719586e+02
-3.165084e-05 7.732014e+02 3.099825e+02 8.559541e+02 8.559540e+02
